sample_idx,frame_path,active,is_stale,selected_y,selected_h,selected_y_top_frac,body_shape,motion_x,motion_y,target_lost_frames,instant_adopted,switch_adopted,candidate_count,accepted_count
115,/workspace/artifacts/real_apex_test/_gif_frames/frame_115.png,False,True,240.0,149.0,0.5333333333333333,1.0,537.995,282.70566037735847,11,False,False,5,2
116,/workspace/artifacts/real_apex_test/_gif_frames/frame_116.png,False,True,240.0,149.0,0.5333333333333333,1.0,537.995,282.70566037735847,12,False,False,5,2
117,/workspace/artifacts/real_apex_test/_gif_frames/frame_117.png,False,True,240.0,149.0,0.5333333333333333,1.0,537.995,282.70566037735847,12,False,False,5,2
118,/workspace/artifacts/real_apex_test/_gif_frames/frame_118.png,False,True,240.0,149.0,0.5333333333333333,1.0,537.995,282.70566037735847,12,False,False,6,2
119,/workspace/artifacts/real_apex_test/_gif_frames/frame_119.png,False,True,240.0,149.0,0.5333333333333333,1.0,537.995,282.70566037735847,13,False,False,10,3
120,/workspace/artifacts/real_apex_test/_gif_frames/frame_120.png,False,True,240.0,149.0,0.5333333333333333,1.0,537.995,282.70566037735847,13,False,False,7,1
121,/workspace/artifacts/real_apex_test/_gif_frames/frame_121.png,False,True,240.0,149.0,0.5333333333333333,1.0,537.995,282.70566037735847,14,False,False,5,2
122,/workspace/artifacts/real_apex_test/_gif_frames/frame_122.png,False,True,240.0,149.0,0.5333333333333333,1.0,537.995,282.70566037735847,14,False,False,6,2
123,/workspace/artifacts/real_apex_test/_gif_frames/frame_123.png,False,True,240.0,149.0,0.5333333333333333,1.0,537.995,282.70566037735847,14,False,False,5,2
124,/workspace/artifacts/real_apex_test/_gif_frames/frame_124.png,False,True,240.0,149.0,0.5333333333333333,1.0,537.995,282.70566037735847,15,False,False,6,1
125,/workspace/artifacts/real_apex_test/_gif_frames/frame_125.png,False,True,240.0,149.0,0.5333333333333333,1.0,537.995,282.70566037735847,16,False,False,3,1
126,/workspace/artifacts/real_apex_test/_gif_frames/frame_126.png,False,True,240.0,149.0,0.5333333333333333,1.0,537.995,282.70566037735847,16,False,False,4,1
127,/workspace/artifacts/real_apex_test/_gif_frames/frame_127.png,False,True,240.0,149.0,0.5333333333333333,1.0,537.995,282.70566037735847,16,False,False,4,1
128,/workspace/artifacts/real_apex_test/_gif_frames/frame_128.png,False,True,240.0,149.0,0.5333333333333333,1.0,537.995,282.70566037735847,16,False,False,5,0
129,/workspace/artifacts/real_apex_test/_gif_frames/frame_129.png,False,True,240.0,149.0,0.5333333333333333,1.0,537.995,282.70566037735847,16,False,False,5,0
130,/workspace/artifacts/real_apex_test/_gif_frames/frame_130.png,False,True,240.0,149.0,0.5333333333333333,1.0,537.995,282.70566037735847,16,False,False,6,1
131,/workspace/artifacts/real_apex_test/_gif_frames/frame_131.png,False,True,240.0,149.0,0.5333333333333333,1.0,537.995,282.70566037735847,17,False,False,6,1
132,/workspace/artifacts/real_apex_test/_gif_frames/frame_132.png,False,False,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18,False,False,8,3
133,/workspace/artifacts/real_apex_test/_gif_frames/frame_133.png,True,False,30.0,397.0,0.06666666666666667,1.0,495.43000000000006,199.66328816542014,0,False,False,7,3
134,/workspace/artifacts/real_apex_test/_gif_frames/frame_134.png,False,True,30.0,397.0,0.06666666666666667,1.0,495.43000000000006,199.66328816542014,1,False,False,4,1
135,/workspace/artifacts/real_apex_test/_gif_frames/frame_135.png,False,True,30.0,397.0,0.06666666666666667,1.0,495.43000000000006,199.66328816542014,2,False,False,4,3
